Preferred Entry Date 1,Preferred Division 1,Minimum Acceptable Group Size 1,Maximum Requested Group Size 1,Preferred Entry Date 2,Preferred Division 2,Minimum Acceptable Group Size 2,Maximum Requested Group Size 2,Preferred Entry Date 3,Preferred Division 3,Minimum Acceptable Group Size 3,Maximum Requested Group Size 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
8/26/21,Colchuck Zone,6,6,9/9/21,Colchuck Zone,6,6,9/30/21,Colchuck Zone,6,6,Unsuccessful,,,,
7/8/21,Core Enchantment Zone,6,6,10/3/21,Core Enchantment Zone,6,6,9/4/21,Colchuck Zone,6,6,Unsuccessful,,,,
7/20/21,Core Enchantment Zone,4,4,7/27/21,Core Enchantment Zone,4,4,8/3/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/17/21,Core Enchantment Zone,2,2,7/29/21,Core Enchantment Zone,2,2,8/4/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
7/21/21,Core Enchantment Zone,8,8,8/13/21,Core Enchantment Zone,8,8,8/6/21,Snow Zone,8,8,Unsuccessful,,,,
8/7/21,Core Enchantment Zone,2,2,7/31/21,Colchuck Zone,2,2,8/21/21,Snow Zone,2,2,Unsuccessful,,,,
6/1/21,Core Enchantment Zone,4,4,6/9/21,Core Enchantment Zone,4,4,6/23/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/18/21,Core Enchantment Zone,2,2,8/18/21,Snow Zone,2,2,8/18/21,Eightmile/Caroline Zone,2,2,Unsuccessful,,,,
8/3/21,Snow Zone,3,3,8/3/21,Core Enchantment Zone,3,3,8/3/21,Colchuck Zone,3,3,Unsuccessful,,,,
8/21/21,Colchuck Zone,8,8,7/3/21,Colchuck Zone,8,8,7/31/21,Colchuck Zone,8,8,Unsuccessful,,,,
9/9/21,Core Enchantment Zone,4,4,8/20/21,Colchuck Zone,4,4,8/20/21,Stuart  Zone,4,4,Unsuccessful,,,,
7/13/21,Colchuck Zone,8,8,7/27/21,Colchuck Zone,8,8,7/20/21,Colchuck Zone,8,8,Unsuccessful,,,,
7/15/21,Core Enchantment Zone,4,4,7/22/21,Core Enchantment Zone,4,4,7/29/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/22/21,Snow Zone,4,4,8/6/21,Stuart  Zone,4,4,9/3/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/15/21,Core Enchantment Zone,4,4,8/29/21,Core Enchantment Zone,4,4,9/5/21,Snow Zone,4,4,Unsuccessful,,,,
8/22/21,Core Enchantment Zone,6,6,9/5/21,Colchuck Zone,6,6,8/29/21,Snow Zone,6,6,Accepted,1,8/22/21,Core Enchantment Zone,6
7/27/21,Snow Zone,4,4,7/28/21,Snow Zone,4,4,7/20/21,Snow Zone,4,4,Unsuccessful,,,,
8/6/21,Core Enchantment Zone,4,4,8/13/21,Core Enchantment Zone,4,4,8/27/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/24/21,Colchuck Zone,8,8,8/14/21,Core Enchantment Zone,8,8,7/31/21,Snow Zone,8,8,Unsuccessful,,,,
8/25/21,Core Enchantment Zone,2,2,9/22/21,Core Enchantment Zone,6,6,10/18/21,Core Enchantment Zone,6,6,Accepted,1,8/25/21,Core Enchantment Zone,2
7/2/21,Core Enchantment Zone,6,6,8/6/21,Core Enchantment Zone,6,6,8/20/21,Colchuck Zone,6,6,Unsuccessful,,,,
6/25/21,Core Enchantment Zone,2,2,7/16/21,Snow Zone,2,2,8/6/21,Snow Zone,2,2,Unsuccessful,,,,
7/26/21,Core Enchantment Zone,2,2,7/27/21,Core Enchantment Zone,2,2,7/28/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
8/6/21,Core Enchantment Zone,8,8,8/6/21,Colchuck Zone,8,8,8/6/21,Snow Zone,8,8,Unsuccessful,,,,
8/18/21,Core Enchantment Zone,6,6,9/29/21,Colchuck Zone,8,8,8/25/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/21/21,Core Enchantment Zone,6,6,9/11/21,Core Enchantment Zone,6,6,9/18/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/9/21,Snow Zone,4,4,8/9/21,Colchuck Zone,4,4,8/3/21,Snow Zone,4,4,Unsuccessful,,,,
7/23/21,Core Enchantment Zone,6,6,7/22/21,Core Enchantment Zone,6,6,7/24/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
7/26/21,Core Enchantment Zone,4,4,8/4/21,Colchuck Zone,4,4,8/11/21,Colchuck Zone,4,4,Unsuccessful,,,,
9/24/21,Stuart  Zone,6,6,8/27/21,Colchuck Zone,6,6,9/3/21,Eightmile/Caroline Zone,6,6,Unsuccessful,,,,
8/4/21,Core Enchantment Zone,4,4,8/11/21,Core Enchantment Zone,4,4,7/29/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
6/19/21,Core Enchantment Zone,2,2,6/26/21,Core Enchantment Zone,2,2,7/17/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
8/4/21,Core Enchantment Zone,4,4,8/11/21,Core Enchantment Zone,4,4,8/5/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/30/21,Colchuck Zone,4,4,8/6/21,Colchuck Zone,4,4,8/6/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/14/21,Core Enchantment Zone,4,4,5/18/21,Core Enchantment Zone,4,4,8/17/21,Stuart  Zone,2,2,Unsuccessful,,,,
6/24/21,Core Enchantment Zone,6,6,7/22/21,Colchuck Zone,6,6,7/15/21,Stuart  Zone,6,6,Unsuccessful,,,,
7/12/21,Core Enchantment Zone,8,8,7/19/21,Core Enchantment Zone,8,8,7/13/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/23/21,Snow Zone,4,4,7/23/21,Core Enchantment Zone,4,4,7/16/21,Colchuck Zone,4,4,Unsuccessful,,,,
9/13/21,Core Enchantment Zone,8,8,9/14/21,Core Enchantment Zone,8,8,9/15/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/13/21,Core Enchantment Zone,4,4,8/24/21,Core Enchantment Zone,4,4,9/14/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/2/21,Core Enchantment Zone,6,6,7/3/21,Core Enchantment Zone,6,6,7/4/21,Core Enchantment Zone,6,6,Accepted,3,7/4/21,Core Enchantment Zone,6
9/15/21,Core Enchantment Zone,6,6,9/8/21,Core Enchantment Zone,6,6,9/22/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
9/4/21,Core Enchantment Zone,8,8,8/21/21,Core Enchantment Zone,8,8,9/4/21,Snow Zone,8,8,Unsuccessful,,,,
9/8/21,Core Enchantment Zone,2,2,9/7/21,Core Enchantment Zone,2,2,9/9/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
8/26/21,Core Enchantment Zone,2,2,9/23/21,Core Enchantment Zone,2,2,7/30/21,Colchuck Zone,2,2,Unsuccessful,,,,
9/20/21,Core Enchantment Zone,4,4,9/27/21,Colchuck Zone,4,4,9/29/21,Snow Zone,4,4,Unsuccessful,,,,
9/7/21,Core Enchantment Zone,4,4,9/8/21,Core Enchantment Zone,4,4,9/8/21,Stuart  Zone,4,4,Unsuccessful,,,,
8/19/21,Core Enchantment Zone,6,6,9/9/21,Core Enchantment Zone,6,6,8/26/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/18/21,Core Enchantment Zone,8,8,8/19/21,Core Enchantment Zone,8,8,8/20/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
6/14/21,Core Enchantment Zone,8,8,8/16/21,Core Enchantment Zone,8,8,9/13/21,Colchuck Zone,8,8,Unsuccessful,,,,
7/31/21,Core Enchantment Zone,4,4,8/13/21,Snow Zone,6,6,8/14/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/20/21,Core Enchantment Zone,8,8,7/27/21,Core Enchantment Zone,8,8,8/3/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
6/26/21,Core Enchantment Zone,2,2,7/10/21,Core Enchantment Zone,2,2,6/19/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
9/24/21,Core Enchantment Zone,4,4,9/25/21,Core Enchantment Zone,4,4,10/1/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/12/21,Core Enchantment Zone,6,6,8/26/21,Core Enchantment Zone,6,6,9/3/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/18/21,Snow Zone,4,4,,,,,,,,,Unsuccessful,,,,
9/1/21,Core Enchantment Zone,4,4,10/1/21,Core Enchantment Zone,4,4,10/4/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/2/21,Core Enchantment Zone,4,4,9/23/21,Core Enchantment Zone,4,4,9/30/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/19/21,Stuart  Zone,3,3,9/2/21,Stuart  Zone,3,3,9/9/21,Stuart  Zone,3,3,Unsuccessful,,,,
8/12/21,Stuart  Zone,8,8,8/10/21,Stuart  Zone,8,8,8/5/21,Stuart  Zone,8,8,Unsuccessful,,,,
7/16/21,Core Enchantment Zone,8,8,7/30/21,Core Enchantment Zone,8,8,7/23/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/13/21,Core Enchantment Zone,6,6,8/20/21,Snow Zone,6,6,8/13/21,Stuart  Zone,6,6,Unsuccessful,,,,
8/12/21,Core Enchantment Zone,6,6,8/21/21,Core Enchantment Zone,6,6,8/28/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/25/21,Core Enchantment Zone,6,6,8/26/21,Core Enchantment Zone,6,6,9/1/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
7/23/21,Colchuck Zone,2,2,7/30/21,Colchuck Zone,2,2,8/6/21,Colchuck Zone,2,2,Unsuccessful,,,,
6/7/21,Core Enchantment Zone,2,2,6/14/21,Colchuck Zone,2,2,8/23/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
7/11/21,Core Enchantment Zone,4,4,8/8/21,Core Enchantment Zone,4,4,8/15/21,Stuart  Zone,4,4,Unsuccessful,,,,
8/13/21,Snow Zone,8,8,8/26/21,Snow Zone,8,8,9/23/21,Snow Zone,8,8,Unsuccessful,,,,
8/30/21,Core Enchantment Zone,1,1,8/29/21,Core Enchantment Zone,1,1,8/31/21,Core Enchantment Zone,1,1,Accepted,2,8/29/21,Core Enchantment Zone,1
7/28/21,Core Enchantment Zone,4,4,7/13/21,Core Enchantment Zone,4,4,7/26/21,Stuart  Zone,4,4,Cancelled,,,,
8/22/21,Core Enchantment Zone,8,8,8/29/21,Core Enchantment Zone,8,8,9/13/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
9/3/21,Colchuck Zone,2,2,9/10/21,Colchuck Zone,2,2,9/17/21,Colchuck Zone,2,2,Unsuccessful,,,,
9/15/21,Core Enchantment Zone,6,6,9/8/21,Core Enchantment Zone,6,6,9/22/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/8/21,Core Enchantment Zone,2,2,7/29/21,Core Enchantment Zone,2,2,8/5/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
7/19/21,Core Enchantment Zone,6,6,8/23/21,Core Enchantment Zone,6,6,9/6/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
7/10/21,Core Enchantment Zone,8,8,7/24/21,Core Enchantment Zone,8,8,8/14/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/27/21,Core Enchantment Zone,4,4,7/27/21,Stuart  Zone,4,4,8/11/21,Colchuck Zone,4,4,Unsuccessful,,,,
7/17/21,Core Enchantment Zone,3,3,8/16/21,Core Enchantment Zone,3,3,9/7/21,Core Enchantment Zone,3,3,Unsuccessful,,,,
8/14/21,Snow Zone,8,8,8/21/21,Stuart  Zone,8,8,8/28/21,Snow Zone,8,8,Unsuccessful,,,,
8/9/21,Snow Zone,6,6,8/23/21,Snow Zone,6,6,9/20/21,Snow Zone,6,6,Unsuccessful,,,,
7/21/21,Core Enchantment Zone,4,4,8/25/21,Core Enchantment Zone,4,4,8/11/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/13/21,Core Enchantment Zone,4,4,8/6/21,Core Enchantment Zone,4,4,8/20/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/12/21,Snow Zone,4,4,9/16/21,Core Enchantment Zone,6,6,8/19/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
7/7/21,Eightmile/Caroline Zone,8,8,7/14/21,Stuart  Zone,8,8,7/21/21,Eightmile/Caroline Zone,8,8,Unsuccessful,,,,
7/16/21,Colchuck Zone,4,4,8/5/21,Core Enchantment Zone,6,6,7/22/21,Colchuck Zone,4,4,Unsuccessful,,,,
8/23/21,Core Enchantment Zone,4,4,9/15/21,Core Enchantment Zone,4,4,9/27/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/4/21,Snow Zone,4,4,9/11/21,Snow Zone,4,4,9/18/21,Snow Zone,4,4,Unsuccessful,,,,
7/19/21,Core Enchantment Zone,6,6,7/26/21,Core Enchantment Zone,6,6,8/2/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
7/18/21,Eightmile/Caroline Zone,8,8,7/25/21,Eightmile/Caroline Zone (stock),8,8,8/1/21,Eightmile/Caroline Zone,8,8,Accepted,3,8/1/21,Eightmile/Caroline Zone,8
9/14/21,Core Enchantment Zone,3,3,9/7/21,Core Enchantment Zone,3,3,9/21/21,Core Enchantment Zone,3,3,Unsuccessful,,,,
7/1/21,Core Enchantment Zone,8,8,6/1/21,Colchuck Zone,8,8,8/3/21,Snow Zone,8,8,Unsuccessful,,,,
7/16/21,Core Enchantment Zone,4,4,9/10/21,Snow Zone,4,4,9/17/21,Stuart Zone (stock),4,4,Unsuccessful,,,,
6/30/21,Colchuck Zone,2,2,7/5/21,Core Enchantment Zone,2,2,7/20/21,Stuart  Zone,2,2,Unsuccessful,,,,
7/23/21,Snow Zone,4,4,7/16/21,Snow Zone,4,4,7/30/21,Snow Zone,4,4,Unsuccessful,,,,
8/17/21,Core Enchantment Zone,6,6,7/27/21,Core Enchantment Zone,6,6,9/14/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
7/16/21,Core Enchantment Zone,2,2,7/9/21,Colchuck Zone,2,2,8/6/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
7/14/21,Colchuck Zone,4,4,8/5/21,Colchuck Zone,4,4,8/26/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/25/21,Stuart  Zone,5,5,10/2/21,Stuart  Zone,5,5,9/18/21,Stuart  Zone,5,5,Unsuccessful,,,,
6/10/21,Colchuck Zone,2,2,,,,,,,,,Unsuccessful,,,,
8/5/21,Core Enchantment Zone,4,4,8/12/21,Core Enchantment Zone,4,4,8/4/21,Core Enchantment Zone,1,1,Unsuccessful,,,,
8/10/21,Core Enchantment Zone,4,4,8/4/21,Colchuck Zone,8,8,8/18/21,Colchuck Zone,8,8,Unsuccessful,,,,
7/22/21,Core Enchantment Zone,8,8,8/5/21,Core Enchantment Zone,8,8,9/23/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/17/21,Core Enchantment Zone,4,4,7/24/21,Colchuck Zone,4,4,7/31/21,Snow Zone,4,4,Unsuccessful,,,,
8/21/21,Core Enchantment Zone,5,5,,,,,,,,,Unsuccessful,,,,
6/10/21,Core Enchantment Zone,4,4,6/17/21,Core Enchantment Zone,4,4,6/25/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/14/21,Core Enchantment Zone,8,8,9/14/21,Colchuck Zone,8,8,9/14/21,Snow Zone,8,8,Unsuccessful,,,,
6/24/21,Core Enchantment Zone,4,4,7/15/21,Colchuck Zone,4,4,6/17/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
10/3/21,Core Enchantment Zone,6,6,10/3/21,Colchuck Zone,6,6,10/3/21,Snow Zone,6,6,Unsuccessful,,,,
7/30/21,Colchuck Zone,6,6,7/16/21,Colchuck Zone,6,6,7/23/21,Colchuck Zone,6,6,Unsuccessful,,,,
8/9/21,Snow Zone,4,4,8/4/21,Snow Zone,4,4,8/2/21,Snow Zone,4,4,Unsuccessful,,,,
7/12/21,Core Enchantment Zone,2,2,8/2/21,Core Enchantment Zone,2,2,8/9/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
9/13/21,Snow Zone,5,5,9/14/21,Snow Zone,5,5,9/15/21,Snow Zone,5,5,Unsuccessful,,,,
7/11/21,Core Enchantment Zone,8,8,7/15/21,Core Enchantment Zone,8,8,7/24/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/27/21,Core Enchantment Zone,4,4,7/28/21,Core Enchantment Zone,4,4,7/29/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/29/21,Core Enchantment Zone,8,8,7/30/21,Core Enchantment Zone,8,8,7/31/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/24/21,Core Enchantment Zone,6,6,7/23/21,Colchuck Zone,6,6,,,,,Unsuccessful,,,,
8/11/21,Eightmile/Caroline Zone,4,4,8/12/21,Eightmile/Caroline Zone,4,4,8/13/21,Eightmile/Caroline Zone,4,4,Cancelled,,,,
9/10/21,Core Enchantment Zone,8,8,,,,,,,,,Unsuccessful,,,,
6/4/21,Eightmile/Caroline Zone,2,2,6/13/21,Stuart  Zone,2,2,6/16/21,Colchuck Zone,2,2,Accepted,2,6/13/21,Stuart  Zone,2
6/9/21,Eightmile/Caroline Zone,1,1,6/9/21,Stuart  Zone,1,1,6/9/21,Snow Zone,1,1,No Response,1,6/9/21,Eightmile/Caroline Zone,1
5/26/21,Core Enchantment Zone,3,3,6/9/21,Stuart  Zone,3,3,7/7/21,Snow Zone,3,3,Unsuccessful,,,,
10/23/21,Snow Zone,8,8,10/16/21,Core Enchantment Zone,8,8,,,,,No Response,1,10/23/21,Snow Zone,8
7/9/21,Core Enchantment Zone,4,4,8/13/21,Core Enchantment Zone,4,4,5/15/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/25/21,Colchuck Zone,8,8,9/25/21,Stuart Zone (stock),8,8,9/25/21,Snow Zone,8,8,Unsuccessful,,,,
8/7/21,Core Enchantment Zone,3,3,8/21/21,Core Enchantment Zone,3,3,9/4/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/17/21,Colchuck Zone,7,7,9/10/21,Colchuck Zone,7,7,8/27/21,Colchuck Zone,7,7,Unsuccessful,,,,
9/15/21,Core Enchantment Zone,4,4,9/29/21,Core Enchantment Zone,4,4,9/19/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/29/21,Core Enchantment Zone,4,4,7/30/21,Core Enchantment Zone,4,4,7/29/21,Colchuck Zone,4,4,Unsuccessful,,,,
7/1/21,Core Enchantment Zone,6,6,8/26/21,Core Enchantment Zone,6,6,9/16/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/27/21,Core Enchantment Zone,2,2,8/27/21,Colchuck Zone,2,2,8/27/21,Snow Zone,2,2,Unsuccessful,,,,
7/13/21,Core Enchantment Zone,8,8,7/20/21,Core Enchantment Zone,8,8,7/27/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/6/21,Core Enchantment Zone,4,4,8/13/21,Core Enchantment Zone,4,4,8/20/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/22/21,Core Enchantment Zone,8,8,9/26/21,Core Enchantment Zone,6,6,10/3/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
8/7/21,Core Enchantment Zone,8,8,8/5/21,Core Enchantment Zone,8,8,7/24/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/5/21,Core Enchantment Zone,4,4,7/16/21,Core Enchantment Zone,4,4,8/13/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/11/21,Core Enchantment Zone,2,2,9/18/21,Core Enchantment Zone,2,2,7/31/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
7/23/21,Core Enchantment Zone,2,2,8/6/21,Stuart  Zone,2,2,8/6/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
9/26/21,Snow Zone,2,2,9/5/21,Stuart  Zone,2,2,10/17/21,Colchuck Zone,2,2,Accepted,2,9/5/21,Stuart  Zone,2
9/12/21,Colchuck Zone,3,3,9/12/21,Colchuck Zone,3,3,9/12/21,Colchuck Zone,3,3,Unsuccessful,,,,
8/20/21,Colchuck Zone,6,6,9/17/21,Core Enchantment Zone,6,6,10/1/21,Snow Zone,6,6,Unsuccessful,,,,
9/10/21,Core Enchantment Zone,3,3,9/17/21,Core Enchantment Zone,3,3,,,,,Unsuccessful,,,,
8/11/21,Core Enchantment Zone,4,4,8/18/21,Core Enchantment Zone,4,4,9/8/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
6/9/21,Core Enchantment Zone,8,8,6/15/21,Core Enchantment Zone,8,8,6/16/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
8/19/21,Core Enchantment Zone,8,8,8/12/21,Core Enchantment Zone,8,8,8/19/21,Colchuck Zone,8,8,Unsuccessful,,,,
10/3/21,Snow Zone,2,2,10/4/21,Core Enchantment Zone,2,2,,,,,Accepted,1,10/3/21,Snow Zone,2
7/22/21,Core Enchantment Zone,6,6,7/29/21,Colchuck Zone,6,6,8/5/21,Snow Zone,6,6,Unsuccessful,,,,
7/20/21,Colchuck Zone,5,5,7/21/21,Colchuck Zone,5,5,7/19/21,Colchuck Zone,5,5,Accepted,2,7/21/21,Colchuck Zone,5
8/20/21,Core Enchantment Zone,4,4,8/21/21,Core Enchantment Zone,4,4,8/19/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/6/21,Core Enchantment Zone,6,6,7/30/21,Core Enchantment Zone,6,6,8/6/21,Snow Zone,6,6,Unsuccessful,,,,
9/17/21,Core Enchantment Zone,2,2,9/24/21,Core Enchantment Zone,2,2,9/16/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
6/3/21,Colchuck Zone,6,6,6/10/21,Colchuck Zone,6,6,6/17/21,Colchuck Zone,6,6,Unsuccessful,,,,
8/1/21,Core Enchantment Zone,2,2,8/1/21,Colchuck Zone,2,2,8/1/21,Snow Zone,2,2,Unsuccessful,,,,
9/23/21,Core Enchantment Zone,8,8,8/5/21,Snow Zone,8,8,6/24/21,Colchuck Zone,8,8,Unsuccessful,,,,
8/14/21,Core Enchantment Zone,4,4,8/21/21,Core Enchantment Zone,4,4,8/28/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/29/21,Core Enchantment Zone,4,4,8/4/21,Stuart  Zone,4,4,8/3/21,Colchuck Zone,4,4,Unsuccessful,,,,
8/20/21,Core Enchantment Zone,8,8,8/26/21,Core Enchantment Zone,8,8,8/19/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
9/10/21,Core Enchantment Zone,6,6,9/17/21,Core Enchantment Zone,6,6,9/24/21,Core Enchantment Zone,6,6,Cancelled,,,,
8/9/21,Core Enchantment Zone,2,2,8/10/21,Core Enchantment Zone,2,2,8/11/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
6/24/21,Snow Zone,2,2,7/22/21,Snow Zone,2,2,7/29/21,Snow Zone,2,2,Unsuccessful,,,,
7/12/21,Core Enchantment Zone,5,5,7/21/21,Core Enchantment Zone,5,5,8/31/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
5/31/21,Snow Zone,2,2,,,,,,,,,Accepted,1,5/31/21,Snow Zone,2
7/17/21,Core Enchantment Zone,5,5,7/24/21,Core Enchantment Zone,5,5,8/14/21,Snow Zone,5,5,Unsuccessful,,,,
7/27/21,Core Enchantment Zone,3,3,8/5/21,Core Enchantment Zone,3,3,8/17/21,Core Enchantment Zone,3,3,Unsuccessful,,,,
7/29/21,Colchuck Zone,8,8,7/29/21,Core Enchantment Zone,8,8,7/29/21,Snow Zone,8,8,Unsuccessful,,,,
9/6/21,Core Enchantment Zone,6,6,9/1/21,Core Enchantment Zone,6,6,9/8/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
6/5/21,Eightmile/Caroline Zone,4,4,9/4/21,Eightmile/Caroline Zone,4,4,8/14/21,Snow Zone,4,4,Unsuccessful,,,,
7/7/21,Core Enchantment Zone,7,7,7/14/21,Core Enchantment Zone,7,7,7/21/21,Core Enchantment Zone,7,7,Unsuccessful,,,,
7/22/21,Core Enchantment Zone,4,4,7/26/21,Core Enchantment Zone,4,4,7/29/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
9/21/21,Core Enchantment Zone,2,2,9/27/21,Core Enchantment Zone,2,2,9/29/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
9/9/21,Core Enchantment Zone,8,8,8/12/21,Core Enchantment Zone,8,8,9/19/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
6/4/21,Core Enchantment Zone,8,8,8/6/21,Stuart  Zone,8,8,9/10/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
6/24/21,Core Enchantment Zone,5,5,6/24/21,Colchuck Zone,5,5,6/24/21,Stuart  Zone,5,5,Declined,3,6/24/21,Stuart  Zone,5
9/3/21,Stuart  Zone,4,4,6/11/21,Stuart  Zone,4,4,10/8/21,Stuart  Zone,4,4,Unsuccessful,,,,
8/4/21,Core Enchantment Zone,4,4,8/11/21,Core Enchantment Zone,4,4,8/18/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
7/14/21,Core Enchantment Zone,5,5,7/28/21,Core Enchantment Zone,5,5,8/10/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
8/27/21,Core Enchantment Zone,4,4,8/27/21,Colchuck Zone,4,4,9/6/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
9/2/21,Snow Zone,2,2,9/9/21,Snow Zone,2,2,8/26/21,Snow Zone,2,2,Unsuccessful,,,,
8/18/21,Core Enchantment Zone,2,2,8/24/21,Core Enchantment Zone,2,2,8/23/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
8/14/21,Colchuck Zone,4,4,8/21/21,Core Enchantment Zone,4,4,9/4/21,Snow Zone,4,4,Unsuccessful,,,,
9/3/21,Core Enchantment Zone,6,6,8/6/21,Core Enchantment Zone,6,6,9/3/21,Colchuck Zone,6,6,Unsuccessful,,,,
7/21/21,Core Enchantment Zone,6,6,7/28/21,Core Enchantment Zone,6,6,8/18/21,Core Enchantment Zone,6,6,Unsuccessful,,,,
6/22/21,Core Enchantment Zone,8,8,6/23/21,Core Enchantment Zone,8,8,6/24/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
6/26/21,Core Enchantment Zone,2,2,7/17/21,Core Enchantment Zone,2,2,6/19/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
8/25/21,Core Enchantment Zone,8,8,8/26/21,Core Enchantment Zone,8,8,9/16/21,Core Enchantment Zone,8,8,Unsuccessful,,,,
7/12/21,Colchuck Zone,3,3,7/5/21,Stuart  Zone,3,3,7/15/21,Core Enchantment Zone,3,3,Unsuccessful,,,,
7/16/21,Core Enchantment Zone,4,4,7/23/21,Core Enchantment Zone,4,4,7/16/21,Colchuck Zone,4,4,Unsuccessful,,,,
8/12/21,Core Enchantment Zone,5,5,8/19/21,Core Enchantment Zone,5,5,8/26/21,Core Enchantment Zone,5,5,Unsuccessful,,,,
8/25/21,Colchuck Zone,4,4,8/26/21,Stuart  Zone,4,4,9/2/21,Eightmile/Caroline Zone,4,4,Unsuccessful,,,,
8/5/21,Snow Zone,5,5,7/29/21,Core Enchantment Zone,5,5,7/22/21,Stuart  Zone,6,6,Unsuccessful,,,,
7/5/21,Core Enchantment Zone,4,4,6/24/21,Core Enchantment Zone,4,4,7/28/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
5/28/21,Core Enchantment Zone,2,2,6/4/21,Core Enchantment Zone,2,2,6/11/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
